periodo,tipo_entidad,entidad,clasificadora,rating_letra,rating_ordinal
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,Class y Asociados S.A.,C,3.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC Raíz en Liquida,Class y Asociados S.A.,C-,2.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC Raíz en Liquida,Moodys Local PE Clasificadora de Riesgo,C-,2.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC SIPAN LIQUID.,Class y Asociados S.A.,C,3.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC SIPAN LIQUID.,Moodys Local PE Clasificadora de Riesgo,C-,2.0
2012 - SEPTIEMBRE,Banco,DEUTSCHE BANK PERU,Apoyo y Asociados Internacionales,A,9.0
2012 - SEPTIEMBRE,Banco,DEUTSCHE BANK PERU,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - SEPTIEMBRE,Empresa de Créditos,EDPYME RAIZ,Class y Asociados S.A.,B-,5.0
2012 - SEPTIEMBRE,Financiera,FINANC. CREDINKA,Class y Asociados S.A.,C+,4.0
2012 - SEPTIEMBRE,Financiera,FINANC. CREDINKA,Moodys Local PE Clasificadora de Riesgo,C,3.0
2012 - SEPTIEMBRE,Financiera,FINANC. PROEMPRESA,Class y Asociados S.A.,B,6.0
2012 - SEPTIEMBRE,Financiera,FINANC. PROEMPRESA,Moodys Local PE Clasificadora de Riesgo,C+,4.0
2012 - SEPTIEMBRE,Financiera,FINANCIERA CONFIANZA,Class y Asociados S.A.,B+,7.0
2012 - SEPTIEMBRE,Financiera,FINANCIERA CONFIANZA,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - SEPTIEMBRE,Financiera,FINANCIERA EDYFICAR,Apoyo y Asociados Internacionales,A-,8.0
2012 - SEPTIEMBRE,Financiera,FINANCIERA EDYFICAR,Moodys Local PE Clasificadora de Riesgo,A-,8.0
2012 - SEPTIEMBRE,Financiera,FINANCIERA QAPAQ,Class y Asociados S.A.,B+,7.0
2012 - SEPTIEMBRE,Financiera,FINANCIERA QAPAQ,PCR (Pacific Credit Rating),B+,7.0
2012 - SEPTIEMBRE,Financiera,FINANCIERA TFC EL,Class y Asociados S.A.,B-,5.0
2012 - SEPTIEMBRE,Financiera,FINANCIERA TFC EL,PCR (Pacific Credit Rating),B+,7.0
2012 - SEPTIEMBRE,Fondo,FONDO MIVIVIENDA,Apoyo y Asociados Internacionales,A,9.0
2012 - SEPTIEMBRE,Fondo,FONDO MIVIVIENDA,Class y Asociados S.A.,A,9.0
2012 - SEPTIEMBRE,Seguros,Insur,Class y Asociados S.A.,A-,8.0
2012 - SEPTIEMBRE,Seguros,Insur,PCR (Pacific Credit Rating),B+,7.0
2012 - SEPTIEMBRE,Banco,INTERBANK,Apoyo y Asociados Internacionales,A,9.0
2012 - SEPTIEMBRE,Banco,INTERBANK,Class y Asociados S.A.,A+,10.0
2012 - SEPTIEMBRE,Banco,INTERBANK,Moodys Local PE Clasificadora de Riesgo,A,9.0
2012 - SEPTIEMBRE,Seguros,Interseguro,Class y Asociados S.A.,A,9.0
2012 - SEPTIEMBRE,Seguros,Interseguro,Moodys Local PE Clasificadora de Riesgo,A,9.0
2012 - SEPTIEMBRE,Seguros,La Positiva,Class y Asociados S.A.,A-,8.0
2012 - SEPTIEMBRE,Seguros,La Positiva,PCR (Pacific Credit Rating),A-,8.0
2012 - SEPTIEMBRE,Seguros,La Positiva Vida,Class y Asociados S.A.,A-,8.0
2012 - SEPTIEMBRE,Seguros,La Positiva Vida,PCR (Pacific Credit Rating),A-,8.0
2012 - SEPTIEMBRE,Seguros,Mapfre Perú,Class y Asociados S.A.,A,9.0
2012 - SEPTIEMBRE,Seguros,Mapfre Perú,PCR (Pacific Credit Rating),A+,10.0
2012 - SEPTIEMBRE,Seguros,Mapfre Peru (Abs),Class y Asociados S.A.,A,9.0
2012 - SEPTIEMBRE,Seguros,Mapfre Peru (Abs),PCR (Pacific Credit Rating),A,9.0
